,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Islam, M Anowarul",25,23,2,1,0,0,0,0
"Weinig, Cynthia",50,26,24,5,5,4,1,1
"Dhekney, Sadanand A",8,8,0,0,4,4,0,0
"Guadagno, Carmela Rosaria",17,10,7,3,1,0,1,1
"Kniss, Andrew R",33,31,2,1,2,2,0,0
"Laughlin, Daniel C",77,72,5,3,3,3,0,0
"Baker, Robert L",10,1,9,2,0,0,0,0
"Park, Eunsook",9,9,0,0,2,2,0,0
"AzevedoSchmidt, Lauren",6,5,1,1,0,0,0,0
"Butrim, Matthew J",4,3,1,1,0,0,0,0
"Harrison, Joshua G",21,16,5,2,0,0,0,0
"Pappas, Gregory S",4,3,1,1,0,0,0,0
"Salmela, Matti J",6,0,6,2,0,0,0,0
"Wilcox, Kevin R",26,25,1,1,1,1,0,0
"Zheljazkov, Valtcho D",17,15,2,1,0,0,0,0
